date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:29	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Apr%202020%2009:22:27%20GMT	https://codiux-labs.com/robots.txt		(from )
14:52:30	185474/185474	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2009:22:29%20GMT	https://codiux-labs.com/wp-pulse1/?section=2	C:/Users/91981/Documents/porfolio%20new/codiux-labs.com/wp-pulse1/indexe300.html	(from )
14:52:31	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2028%20Apr%202020%2009:22:30%20GMT	https://codiux-labs.com/wp-pulse1/xmlrpc.php	C:/Users/91981/Documents/porfolio%20new/codiux-labs.com/wp-pulse1/xmlrpc.php	(from https://codiux-labs.com/wp-pulse1/?section=2)
14:52:32	29295/29295	---M-Z	200	added ('OK')	text/css	etag:%22726f-58726918d0b00-gzip%22	https://codiux-labs.com/wp-pulse1/wp-includes/css/dist/block-library/style.min.css?ver=5.2.5	C:/Users/91981/Documents/porfolio%20new/codiux-labs.com/wp-pulse1/wp-includes/css/dist/block-library/style.min6619.css	(from https://codiux-labs.com/wp-pulse1/?section=2)
14:52:32	22692/22692	---M-Z	200	added ('OK')	application/rss+xml	etag:%225e989f713aecc9d214375b8e4aa21f73-gzip%22	https://codiux-labs.com/wp-pulse1/feed/	C:/Users/91981/Documents/porfolio%20new/codiux-labs.com/wp-pulse1/feed/index.html	(from https://codiux-labs.com/wp-pulse1/?section=2)
14:52:32	2515/2515	---M-Z	200	added ('OK')	application/rss+xml	etag:%221d2cf7a87b2ec38962de3b5351a5ba91-gzip%22	https://codiux-labs.com/wp-pulse1/comments/feed/	C:/Users/91981/Documents/porfolio%20new/codiux-labs.com/wp-pulse1/comments/feed/index.html	(from https://codiux-labs.com/wp-pulse1/?section=2)
14:52:33	1685/1685	---M-Z	200	added ('OK')	text/css	etag:%22695-58e6f48b6b200-gzip%22	https://codiux-labs.com/wp-pulse1/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.3	C:/Users/91981/Documents/porfolio%20new/codiux-labs.com/wp-pulse1/wp-content/plugins/contact-form-7/includes/css/stylesbdeb.css	(from https://codiux-labs.com/wp-pulse1/?section=2)
14:52:33	14731/14731	---M-Z	200	added ('OK')	text/css	etag:%22398b-58e6f47b34bc0-gzip%22	https://codiux-labs.com/wp-pulse1/wp-content/themes/pulse/style.css?ver=5.2.5	C:/Users/91981/Documents/porfolio%20new/codiux-labs.com/wp-pulse1/wp-content/themes/pulse/style6619.css	(from https://codiux-labs.com/wp-pulse1/?section=2)
14:52:34	99961/99961	---M-Z	200	added ('OK')	text/css	etag:%2218679-58e6f47b34bc0-gzip%22	https://codiux-labs.com/wp-pulse1/wp-content/themes/pulse/css/bootstrap.min.css?ver=5.2.5	C:/Users/91981/Documents/porfolio%20new/codiux-labs.com/wp-pulse1/wp-content/themes/pulse/css/bootstrap.min6619.css	(from https://codiux-labs.com/wp-pulse1/?section=2)
14:52:34	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%226857-58e6f47b34bc0-gzip%22	https://codiux-labs.com/wp-pulse1/wp-content/themes/pulse/css/font-awesome.min.css?ver=5.2.5	C:/Users/91981/Documents/porfolio%20new/codiux-labs.com/wp-pulse1/wp-content/themes/pulse/css/font-awesome.min6619.css	(from https://codiux-labs.com/wp-pulse1/?section=2)
